time,real,predict
1551471690,1.9917277097702024,3.0091676712036133
1551472290,1.9499218463897705,3.003990888595581
1551472890,2.2300424575805664,3.1185131072998047
1551473490,2.6478214263916016,3.0365567207336426
1551474090,2.572181224822998,3.2413239479064937
1551474690,2.868239402770996,3.5839414596557617
1551475290,2.820082426071167,3.391817569732666
1551475890,2.991072177886963,3.4513888359069824
1551476490,3.099064826965332,3.383521556854248
1551477090,3.4444499015808105,3.4118900299072266
1551477690,3.3908281326293945,3.637497901916504
1551478290,3.7345728874206543,3.714744091033936
1551478890,3.416656494140625,3.965986251831055
1551479490,3.69307279586792,4.0675320625305185
1551480090,3.9078831672668457,4.258467197418213
1551480690,3.635040760040283,4.243780612945557
1551481290,4.037637233734132,4.521123886108398
1551481890,4.098798751831056,4.636490821838379
1551482490,4.12134313583374,4.9433369636535645
1551483090,4.101496696472168,4.883862018585205
1551483690,4.868858814239502,5.16584587097168
1551484290,4.722091197967528,5.312576770782472
1551484890,4.89765214920044,5.142370223999023
1551485490,5.242741107940674,5.263232231140137
1551486090,5.011024951934815,5.2808709144592285
1551486690,5.099700927734375,5.309317588806152
1551487290,5.8758301734924325,5.311781883239746
1551487890,6.129691123962402,6.116053104400635
1551488490,6.330946445465088,6.194632053375244
1551489090,6.582733631134032,6.392882823944093
1551489690,6.807996273040772,6.634966373443604
1551490290,7.158914089202881,7.0876407623291025
1551490890,7.570023536682129,7.1618995666503915
1551491490,8.617366790771483,8.406487464904785
1551492090,8.948604583740234,9.208252906799316
1551492690,8.930083274841309,9.5234956741333
1551493290,8.609956741333008,9.224767684936523
1551493890,8.369595527648926,8.722660064697267
1551494490,8.100398063659668,8.450522422790527
1551495090,7.272634029388428,8.102713584899902
1551495690,6.39708948135376,8.227964401245117
1551496290,5.864579200744629,7.852119445800781
1551496890,5.421700477600098,7.590595245361327
1551497490,5.306356430053711,7.179685592651367
1551498090,4.917325496673584,6.948402404785156
1551498690,4.871645450592041,6.779242992401122
1551499290,4.844667434692383,6.464784622192383
1551499890,4.900735378265381,6.0685667991638175
1551500490,4.8996849060058585,5.9671406745910645
1551501090,4.82777214050293,5.968479633331299
1551501690,4.780716896057129,5.977932929992676
1551502290,4.751129627227783,5.533250331878662
1551502890,4.739809036254883,5.200199604034424
1551503490,4.7119178771972665,4.9631924629211435
1551504090,4.639699459075928,4.82608699798584
1551504690,4.550090312957764,4.6671013832092285
1551505290,4.44402551651001,4.490480899810791
1551505890,4.404799938201903,4.35253381729126
1551506490,4.517022132873535,4.265647888183594
1551507090,4.498740196228027,4.24390172958374
1551507690,4.3218488693237305,4.34873104095459
1551508290,4.297926425933838,4.4698896408081055
1551508890,4.2956762313842765,4.521505355834961
1551509490,3.984920501708984,4.558924198150635
1551510090,4.225605010986328,4.541009902954102
1551510690,4.2441368103027335,4.66588020324707
1551511290,3.9675135612487793,4.589190483093262
1551511890,4.211473464965819,4.423311233520508
1551512490,4.179717063903809,4.3821425437927255
1551513090,4.033801555633545,4.2909865379333505
1551513690,4.186817169189453,4.140724182128906
1551514290,4.158033847808838,4.2206854820251465
1551514890,4.110724925994873,4.176304340362549
1551515490,4.030906677246094,4.019302845001222
1551516090,3.8371753692626953,4.139753818511963
1551516690,3.952589511871338,4.134504795074463
1551517290,3.9339499473571777,4.1371097564697275
1551517890,3.384758949279785,4.230082511901856
1551518490,3.563586711883545,4.272123336791991
1551519090,3.77287483215332,4.2235984802246085
1551519690,3.808383464813232,4.138436794281007
1551520290,3.850547790527344,4.142100811004639
1551520890,3.882985591888428,4.163647174835205
1551521490,4.039331912994385,4.2475671768188485
1551522090,4.1597900390625,4.093773365020752
1551522690,4.216375827789307,4.282830715179443
1551523290,4.216079235076903,4.452804088592528
1551523890,4.098436355590819,4.368602752685547
